particle_uid,material,acquisition_id,particle_id,npz_path,particle_type,n_components,oil_id,bitumen_id,oil_mix_id,bbox_height,bbox_width,bbox_area,distance_m,recon_pixel_um,numerical_aperture,lateral_resolution_um,axial_resolution_um,bbox_height_um,bbox_width_um,bbox_area_um2,area_um2,equiv_diameter_um,feret_max_um,feret_min_um,area_px,perimeter_px,perimeter_um,equiv_diameter_px,circularity,solidity,convex_deviation,feret_max_px,feret_min_px,aspect_ratio,amp_mean,amp_std,amp_contrast,rim_ratio,radial_gradient,phase_mean,phase_std,phase_contrast,Ra_optical,Rq_optical,Rt_optical,mean_opd,max_opd,integrated_opd,integrated_opd_per_area,mean_phase_gradient,std_phase_gradient,max_phase_gradient,edge_phase_gradient_mean,edge_phase_gradient_std,edge_phase_gradient_max,laplacian_variance,center_edge_phase_difference
Succinic Acid_Succinic Acid 2 (H3)_raw1324,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1324,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1324.npz,single,1,0,0,0,92,101,9292,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,100.50898439207799,110.34138503912911,11090.300546698096,8197.178664950767,102.16149975149494,115.42185940600311,102.94345563599909,6868,322.1492782986674,351.9445302656517,93.51261515560934,0.8316217227986434,0.9692351114860722,0.03076488851251656,105.65036677645753,94.22837148136972,1.121216095699437,0.674711745777519,0.1330780930969232,0.3446270000000001,0.9275971442987007,0.04768132899655475,0.49196494612696556,0.18123214060332823,0.49453800000000003,0.1530265938231512,0.18123214060332823,0.72388,0.03171095446663805,0.049645360553598,217.79083527687013,0.031710954466591876,0.01907618959304612,0.019348264899676868,0.09172562482752572,0.04700636731618831,0.01918966866711786,0.08663429416230041,5.294458645168746e-05,0.26772812961776904
Succinic Acid_Succinic Acid 2 (H3)_raw1327,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1327,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1327.npz,single,1,0,0,0,143,104,14872,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,156.22592139203428,113.61885192147948,17750.209828938234,14569.446703997379,136.19983732898083,162.52035572311598,117.15356607657668,12207,442.1076477383248,482.9977246320609,124.66930304843342,0.7848067930082606,0.9627730893596003,0.037226910639610984,148.7615541731129,107.23546899051718,1.3872420718024543,0.5495600065536168,0.1257537209167998,0.33988799999999997,1.3555036951615869,-0.1484235746232508,0.5484153395592692,0.3190161038095329,0.88323,0.27756461769276947,0.3190161038095329,1.11201,0.035349619924102564,0.07262777201216118,431.51281041352,0.0353496199240736,0.020842778033099585,0.022348539892678404,0.11066024952529253,0.05027477601931329,0.031596618410268215,0.10451500107640051,6.0600695303782895e-05,0.34213106412048183
Succinic Acid_Succinic Acid 2 (H3)_raw132,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),132,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw132.npz,single,1,0,0,0,141,102,14382,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,154.04094347046737,111.43387399991256,17165.379085515713,12905.662915566778,128.18736433487396,163.80778166475739,112.80334067628263,10813,425.2203461105329,464.54853402627776,117.33515754973577,0.7514982848469985,0.9534432589710312,0.046556741028086976,149.9399879951976,103.25352907491897,1.4521536390916359,0.6904299916766854,0.19446829450936054,0.5165260000000009,0.917759533936926,0.05659704820759692,0.25115266531027464,0.2005368768634121,0.539258,0.17307309843027388,0.2005368768634121,0.67502,0.01618873620270801,0.043510271722785925,175.04880455988172,0.016188736202693038,0.012211833545758687,0.012658598160495709,0.07871098303286525,0.03798035947123228,0.02101248878946675,0.06940254336117661,3.643695469167039e-05,-0.20043573434200262
Succinic Acid_Succinic Acid 2 (H3)_raw1330,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1330,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1330.npz,single,1,0,0,0,122,81,9882,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,133.2836532155817,88.49160582345998,11794.484503063988,8869.13725382195,106.26634593910683,137.25418438423574,89.15065839455836,7431,356.79393923934003,389.7934398934223,97.26994940333316,0.7335372761527912,0.9429006471248028,0.05709935287392831,125.63439019631528,81.60325787697275,1.5395756672573666,0.7027798371686179,0.11608434439668977,0.30377999999999994,0.8727009983613417,0.08956198094646084,0.5611400578656978,0.1626885411232804,0.42328000000000005,0.138239984433109,0.1626885411232804,0.65354,0.03616982666036018,0.048701054487498015,268.7779819131365,0.03616982666031151,0.019830083023312996,0.02291865398635983,0.08951851610141894,0.05723337282818366,0.016784201794139014,0.08033295743342206,7.614998299170831e-05,0.2223284303937731
Succinic Acid_Succinic Acid 2 (H3)_raw1331,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1331,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1331.npz,single,1,0,0,0,82,52,4264,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,89.58409478424343,56.80942596073974,5089.2209999053675,3843.1734567765675,69.95198655109417,95.77209622169764,64.06686790153177,3220,238.36753236814718,260.41389772139405,64.02992530096552,0.7121500916807019,0.939323220534016,0.06067677946306687,87.66413177577246,58.643034576374575,1.494877139442739,0.5647144875776398,0.1006400075249063,0.26849199999999995,0.7372185827940659,0.15966601168093314,0.18934071428571428,0.052610742524039605,0.136829,0.04228083096716948,0.052610742524039605,0.25927,0.012204476795884277,0.01927222325619354,39.29841528274737,0.012204476795846375,0.011446138132122165,0.007107115962394698,0.030757110559998968,0.02104329418190161,0.005503222345944155,0.030269212906846456,0.00018108487934349567,0.06925004320884781
Succinic Acid_Succinic Acid 2 (H3)_raw1332,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1332,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1332.npz,single,1,0,0,0,133,173,23009,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,145.30103178419972,189.00059021553798,27461.980766140387,20256.627300749038,160.59744369782345,196.7359993122916,148.69682402596933,16972,528.6173157302028,577.5085819142296,147.00143384758252,0.7632382322667395,0.9601176670244045,0.039882332975029765,180.08053753806934,136.10830805954726,1.3230679310133242,0.6327983413858119,0.1487216796151676,0.395084,1.247746622552971,-0.12887360767911005,0.37685423697855286,0.2182817844251068,0.5914699999999999,0.19175977132373523,0.2182817844251068,0.74543,0.024291176929305793,0.04805712154549536,412.2698548441779,0.024291176929291478,0.012014570515803506,0.012151436972779756,0.07144972445713141,0.028499528770185436,0.018371254037780397,0.06428431709989615,1.6841430923093904e-05,0.2959650630057864
Succinic Acid_Succinic Acid 2 (H3)_raw1333,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1333,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1333.npz,single,1,0,0,0,170,102,17340,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,185.7231233331876,111.43387399991256,20695.847124380645,14452.480555312875,135.65201717092287,186.18524959639757,113.12430808757203,12109,471.5046173579948,515.113589422037,124.16786076597312,0.6844571161193329,0.9410896090767535,0.05891039092246917,170.42300314218147,103.54732372439463,1.64584652709891,0.6839208382195061,0.1499975501347526,0.3770080000000001,0.9413074588987781,0.039437654971480884,0.22057039474770834,0.1358450493461942,0.3479980000000001,0.11046398213038353,0.1358450493461942,0.65157,0.014217471792650503,0.041998737439506426,172.15936593720494,0.01421747179263876,0.012918791023539808,0.011363085494444706,0.07457178689021741,0.0377839886697143,0.013340529902114852,0.07011200057764717,3.4081829946105555e-05,-0.22963988875318464
Succinic Acid_Succinic Acid 2 (H3)_raw1336,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1336,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1336.npz,single,1,0,0,0,173,113,19549,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,189.00059021553798,123.45125256853058,23332.35959829973,19742.214952963106,158.5451632146956,204.1317888887455,135.04525997607595,16541,535.9066376115481,585.4720856011967,145.12289726112942,0.7237579603017541,0.9511241446719848,0.048875855327440126,186.85020738548835,123.61247099396863,1.511580553992851,0.5876835729399674,0.12183895943365926,0.29308000000000006,1.1959196397149137,-0.0979544120643624,0.34389153678737683,0.15836418224990295,0.43307000000000007,0.13262388298787914,0.15836418224990295,0.71097,0.022166475376707653,0.04582752790546815,366.6556692061213,0.02216647537669425,0.01651790211036856,0.01607052084351393,0.08355403341550903,0.05223806920590802,0.013020113309328143,0.07890533188574775,0.00017595873196334314,-0.2475831526916799
Succinic Acid_Succinic Acid 2 (H3)_raw1337,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1337,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1337.npz,irregular,1,0,0,0,102,72,7344,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,111.43387399991256,78.65920517640886,8765.299958561216,5035.51205408085,80.07129994727403,125.12218405135863,65.27912313052539,4219,299.9655121145938,327.7090106009499,73.29254831998715,0.5892189941271018,0.8785922532259921,0.12140774677192544,114.5294721894762,59.75266155889738,1.9167258696348792,0.5769450035553448,0.10430187497530678,0.284506,0.6951137195332114,0.1886163841175007,0.41790049300782184,0.1744382885908849,0.476826,0.14793972240051537,0.1744382885908849,0.71402,0.026936926319007622,0.04970401710787451,113.64689213989315,0.026936926318943774,0.024705738616594208,0.02104486637765089,0.09460242200916419,0.0477180590466642,0.021856860964392766,0.0837562220076813,0.00010956500461380788,0.17682644046137247
Succinic Acid_Succinic Acid 2 (H3)_raw133,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),133,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw133.npz,single,1,0,0,0,142,112,15904,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,155.1334324312508,122.35876360774712,18981.93498651383,13766.199580888488,132.39210583378394,169.09244717820522,124.65747297783142,11534,447.2203461105329,488.5832911635138,121.18393007728115,0.7246807153090324,0.9375711266453116,0.06242887335387544,154.77725931156684,114.10410306428709,1.3564565616397177,0.7230661271024797,0.23890661166641594,0.6460210000000004,1.1642689903167962,-0.09943266486713798,0.6091427171839778,0.2861726004531469,0.7660100000000001,0.24799928209445768,0.2861726004531469,0.94015,0.03926397016774468,0.06059995549787738,452.87063191476716,0.03926397016771064,0.021433833740766656,0.0262200788782672,0.10884494705772976,0.06438264435515922,0.029468130955627118,0.10131755240332249,0.00010574409672742109,0.1442343518782554
Succinic Acid_Succinic Acid 2 (H3)_raw1341,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1341,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1341.npz,single,1,0,0,0,123,123,15129,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,134.37614217636514,134.37614217636514,18056.9475862027,13088.273331370137,129.09108093823943,146.0547833840741,121.32198984439668,10966,419.36248173426384,458.14888186143713,118.1623664605859,0.7835720893797745,0.9476322156922332,0.052367784306902546,133.6899397860587,111.05099840770296,1.2038607639999874,0.5900510085719497,0.1069769266490526,0.26224000000000003,1.1416264000373535,-0.07209558832922713,0.11652924585081159,0.05277567427492179,0.143225,0.04075362526368954,0.05277567427492179,0.257,0.007511213224230597,0.01739392436430592,82.36796421691272,0.007511213224223746,0.007174326766678949,0.005579203415195033,0.0317962658971144,0.012679882327909281,0.006714504699382091,0.028409627329481105,0.0002957577875832257,0.032504664934859456
Succinic Acid_Succinic Acid 2 (H3)_raw1342,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1342,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1342.npz,single,1,0,0,0,91,132,12012,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,99.41649543129454,144.20854282341625,14336.707938757805,9673.577909060274,110.98099807125557,154.79839974186018,103.6631389747705,8105,401.4629867976522,438.59388123958956,101.5854640688248,0.6319342010432712,0.8805953933063009,0.11940460669261255,141.69333082400175,94.88712718930411,1.4932829670490197,0.6858713448488586,0.1414380394102653,0.38577399999999995,0.9397919706529465,0.039313739451483976,0.3201470228254164,0.14084011232269664,0.38325200000000004,0.12308000288106329,0.14084011232269664,0.50283,0.02063595738552164,0.03443397567039416,167.2544346096529,0.02063595738549618,0.01304430444319549,0.01468864220445104,0.060621604234794055,0.03346824870143835,0.014454452478432463,0.05598270916095433,5.2676058454490545e-05,0.13098722798387696
Succinic Acid_Succinic Acid 2 (H3)_raw1343,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1343,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1343.npz,single,1,0,0,0,92,62,5704,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,100.50898439207799,67.7343155685743,6807.90726628992,4986.577236774068,79.68128595057273,103.34275733776846,65.50769829508653,4178,275.095454429505,300.5387471259427,72.93555249604618,0.6937635380366514,0.9084583605111797,0.09154163948664593,94.59386872308374,59.96188579160471,1.5775666070917316,0.5980944782192437,0.10453101653199488,0.281615,0.7590597157634955,0.15002370139298132,0.31985532072762085,0.13890666983640756,0.3794080000000001,0.11805663759953491,0.13890666983640756,0.55775,0.020617154924057992,0.037671043973434536,86.1384732727143,0.020617154924008646,0.018840566027931438,0.014720911348560342,0.07241692136510638,0.035659805581109434,0.017149849337945722,0.06186735669963603,5.258672465311014e-05,0.12808512295130972
Succinic Acid_Succinic Acid 2 (H3)_raw1344,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1344,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1344.npz,single,1,0,0,0,122,93,11346,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,133.2836532155817,101.60147335286145,13541.81554055495,11038.978665132445,118.55489939236763,140.60888920715334,104.28776238196943,9249,383.521861300698,418.99339969013647,108.51816690884306,0.790177018767623,0.962234706615728,0.03776529338323162,128.70508925446578,95.45887063900541,1.3482779378480898,0.590132087793275,0.13471191086595966,0.35718800000000017,1.037661835578989,-0.020163184423981906,0.5633876559628068,0.23267346551370052,0.6281680000000001,0.1989114509116776,0.23267346551370052,0.8846700000000001,0.036314701780991915,0.0586501085013228,335.8746767723942,0.03631470178095265,0.02088965530441098,0.01965837075442701,0.09146427553968817,0.04795297764245666,0.019624102702271065,0.08569684241557562,5.100289340494842e-05,0.4172851743162015
Succinic Acid_Succinic Acid 2 (H3)_raw1345,Succinic Acid,Succinic Acid_Succinic Acid 2 (H3),1345,/Users/arushimukherji/Desktop/AriyaLab/Processed_Data/NPZ/Succinic Acid_Succinic Acid 2 (H3)_raw1345.npz,single,1,0,0,0,112,73,8176,0.02468,1.0924889607834565,0.2423953981765381,0.8354118994145177,6.892968312922194,122.35876360774712,79.75169413719232,9758.318690250067,7101.516170130614,95.08906990493965,130.67921681712673,81.6312000977525,5950,321.9655121145938,351.74376773818597,87.03892974511014,0.7212870281371857,0.9501756627260457,0.049824337272357355,119.61605243444544,74.720388972363,1.600848899203243,0.5541054302521008,0.10613108614188031,0.28769900000000004,0.8568711370177142,0.07815400709000664,0.26049132773109246,0.12944329279286995,0.36140200000000006,0.10969962641056423,0.12944329279286995,0.51921,0.01679068538859458,0.03543564913573163,99.90457806213774,0.01679068538856636,0.013170347384743998,0.009707458471899551,0.06564783164735907,0.024632123279865716,0.015347276307236802,0.06456485266768602,0.0001196674368910218,0.143274208023607
